Column 2,Column 9,Column 10,Column 11,Column 12,Column 47
Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,
CHEMBL2386923,Cc1sc2nc(Cn3cnc4ccccc43)cc(=O)n2c1C,AC50,'=',86.0,
CHEMBL4442179,O=C(CCSC(=S)NCc1cccnc1)c1cn(C2CCC2)c2ncccc12,AC50,'=',3930.0,
CHEMBL4450518,O=C(CCSC(=S)NCc1cccnc1)c1c[nH]c2nccc(C3CC3)c12,AC50,,,
CHEMBL4535847,O=C(CCSC(=S)NCc1cccnc1)c1c[nH]c2nccc(-c3ccccc3)c12,AC50,'=',2170.0,
CHEMBL2386921,COc1ccc2nc(Cn3cnc4ccccc43)cc(=O)n2c1,AC50,'=',470.0,
CHEMBL4070458,Cn1cc(C(=O)c2cccc(Cl)c2Cl)cc1C(=O)NCCNC(=O)c1cc(C(=O)c2cccc(Cl)c2Cl)cn1C,AC50,'=',188.0,
CHEMBL4175551,COc1ncccc1CN1C(=S)SCC1(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1,AC50,'>',20000.0,
CHEMBL4169977,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)c1c[nH]c2ncccc12,AC50,'=',1410.0,
CHEMBL4474902,O=C(CCSC(=S)NCc1cccnc1)c1c[nH]c2nc(Cl)ccc12,AC50,,,
CHEMBL2386925,Cc1csc2nc(Cn3cnc4ccccc43)cc(=O)n12,AC50,'=',127.0,
CHEMBL4175126,CS(=O)(=O)Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1,AC50,'>',20000.0,
CHEMBL4160452,CS(=O)(=O)c1cccc(-c2ccc(CN3C(=S)SCC3(O)c3ccc(NS(=O)(=O)c4ccc5c(c4)OCCO5)cc3)cn2)c1,AC50,'=',17610.0,
CHEMBL4171429,O=[N+]([O-])c1cccc(-c2ccccc2S(=O)(=O)Nc2ccc(C3(O)CSC(=S)N3Cc3cccnc3)cc2)c1,AC50,'>',20000.0,
CHEMBL4164653,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)c1cccc2cccnc12,AC50,'=',520.0,
CHEMBL4168340,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)c1ccc2c(c1)OCCO2,AC50,'=',3140.0,
CHEMBL4176190,O=C1COc2ccc(S(=O)(=O)Nc3ccc(C4(O)CSC(=S)N4Cc4cccnc4)cc3)cc2N1,AC50,'>',20000.0,
CHEMBL4164488,CN(c1ccc(C2(O)CSC(=S)N2Cc2cccnc2)cc1)S(=O)(=O)c1cccc2cccnc12,AC50,'>',20000.0,
CHEMBL1089365,O=C(c1c(F)cccc1F)N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,AC50,,,
CHEMBL4092292,Cn1cc(C(=O)c2cccc(Cl)c2Cl)cc1C(N)=O,AC50,'=',17000.0,
CHEMBL4446547,O=C(CCSC(=S)NCc1cccnc1)c1c(-c2ccccc2)nn2ncccc12,AC50,'=',450.0,
CHEMBL3104574,O=C(c1cc(Br)c[nH]1)N(Cc1ccccc1F)CC1CCC1,AC50,'=',3900.0,
CHEMBL3104567,O=C(c1cc(Br)c[nH]1)N(Cc1ccccc1)CC1CCCC1,AC50,,,
CHEMBL3104562,CCN(Cc1ccccc1)C(=O)c1cc(Br)c[nH]1,AC50,,,
CHEMBL3104581,O=C(c1cc(Br)n[nH]1)N(Cc1cccc2[nH]cnc12)CC1CCC1,AC50,'=',1340.0,
CHEMBL4591115,C=C1C(=O)O[C@H]2[C@H]1CC/C(C(=O)OCCOCCOCCOC(=O)/C1=C/CC[C@@]3(C)O[C@H]3[C@H]3OC(=O)C(=C)[C@@H]3CC1)=C\CC[C@@]1(C)O[C@@H]21,AC50,'=',52.0,
CHEMBL1085588,Cn1c2cc([S+](C)[O-])sc2c2cnn(Cc3cccc(N)c3)c(=O)c21,AC50,'=',92.0,
CHEMBL1082456,COc1ccc(Cn2ncc3c4sc(C)cc4n(C)c3c2=O)cc1,AC50,'=',37.0,
CHEMBL1082455,Cc1cc2c(s1)c1cnn(Cc3ccc(C(F)(F)F)cc3)c(=O)c1n2C,AC50,'=',553.0,
